,JST,Like,Want_To_Watch,Pleasant,Happy ,Emotional,Quality,Interest,Light_Hearted,Exciting,Warm,Impression
122,16:50:40.036,2,2,2,3,3,2,2,3,3,2,2
123,16:50:40.285,2,2,2,3,3,2,2,3,3,2,2
124,16:50:40.535,2,2,2,3,3,2,2,3,3,2,2
125,16:50:40.785,2,2,2,3,3,2,2,3,3,2,2
126,16:50:41.034,2,2,2,3,3,2,2,3,3,2,2
127,16:50:41.284,2,2,2,3,3,2,2,3,3,2,2
128,16:50:41.536,2,2,2,3,3,2,2,3,3,2,2
129,16:50:41.785,2,2,2,3,3,2,2,3,3,2,2
130,16:50:42.034,2,2,2,3,3,2,2,3,3,2,2
131,16:50:42.283,2,2,2,3,3,2,2,3,3,2,2
132,16:50:42.533,2,2,2,3,3,2,2,3,3,2,2
133,16:50:42.786,2,2,2,3,3,2,2,3,3,2,2
134,16:50:43.032,2,2,2,3,3,2,2,3,3,2,2
135,16:50:43.283,2,2,2,3,3,2,2,3,3,2,2
136,16:50:43.532,2,2,2,3,3,2,2,3,3,2,2
137,16:50:43.783,2,2,2,3,3,2,2,3,3,2,2
138,16:50:44.032,2,2,2,3,3,2,2,3,3,2,2
139,16:50:44.284,2,2,2,3,3,2,2,3,3,2,2
140,16:50:44.533,2,2,2,3,3,2,2,3,3,2,2
141,16:50:44.796,2,2,2,3,3,2,2,3,3,2,2
142,16:50:45.031,2,2,2,3,3,2,2,3,3,2,2
143,16:50:45.280,2,2,2,3,3,2,2,3,3,2,2
144,16:50:45.531,2,2,2,3,3,2,2,3,3,2,2
145,16:50:45.781,2,2,2,3,3,2,2,3,3,2,2
146,16:50:46.031,2,2,2,3,3,2,2,3,3,2,2
147,16:50:46.282,2,2,2,3,3,2,2,3,3,2,2
148,16:50:46.532,2,2,2,3,3,2,2,3,3,2,2
149,16:50:46.779,2,2,2,3,3,2,2,3,3,2,2
150,16:50:47.024,2,2,2,3,3,2,2,3,3,2,2
151,16:50:47.282,2,2,2,3,3,2,2,3,3,2,2
152,16:50:47.548,2,2,2,3,3,2,2,3,3,2,2
153,16:50:47.780,2,2,2,3,3,2,2,3,3,2,2
154,16:50:48.031,2,2,2,3,3,2,2,3,3,2,2
155,16:50:48.279,2,2,2,3,3,2,2,3,3,2,2
156,16:50:48.530,2,2,2,3,3,2,2,3,3,2,2
157,16:50:48.778,2,2,2,3,3,2,2,3,3,2,2
158,16:50:49.028,2,2,2,3,3,2,2,3,3,2,2
159,16:50:49.278,2,2,2,3,3,2,2,3,3,2,2
160,16:50:49.546,2,2,2,3,3,2,2,3,3,2,2
161,16:50:49.780,2,2,2,3,3,2,2,3,3,2,2
162,16:50:50.029,2,2,2,3,3,2,2,3,3,2,2
163,16:50:50.278,2,2,2,3,3,2,2,3,3,2,2
164,16:50:50.528,2,2,2,3,3,2,2,3,3,2,2
165,16:50:50.779,2,2,2,3,3,2,2,3,3,2,2
166,16:50:51.019,2,2,2,3,3,2,2,3,3,2,2
167,16:50:51.277,2,2,2,3,3,2,2,3,3,2,2
168,16:50:51.527,2,2,2,3,3,2,2,3,3,2,2
169,16:50:51.776,2,2,2,3,3,2,2,3,3,2,2
170,16:50:52.026,2,2,2,3,3,2,2,3,3,2,2
171,16:50:52.277,2,2,2,3,3,2,2,3,3,2,2
172,16:50:52.528,2,2,2,3,3,2,2,3,3,2,2
173,16:50:52.775,2,2,2,3,3,2,2,3,3,2,2
174,16:50:53.022,2,2,2,3,3,2,2,3,3,2,2
175,16:50:53.278,2,2,2,3,3,2,2,3,3,2,2
176,16:50:53.527,2,2,2,3,3,2,2,3,3,2,2
177,16:50:53.776,2,2,2,3,3,2,2,3,3,2,2
178,16:50:54.025,2,2,2,3,3,2,2,3,3,2,2
179,16:50:54.289,2,2,2,3,3,2,2,3,3,2,2
180,16:50:54.525,2,2,2,3,3,2,2,3,3,2,2
181,16:50:54.776,2,2,2,3,3,2,2,3,3,2,2
182,16:50:55.024,2,2,2,3,3,2,2,3,3,2,2
183,16:50:55.273,2,2,2,3,3,2,2,3,3,2,2
184,16:50:55.525,2,2,2,3,3,2,2,3,3,2,2
185,16:50:55.773,2,2,2,3,3,2,2,3,3,2,2
186,16:50:56.047,2,2,2,3,3,2,2,3,3,2,2
187,16:50:56.275,2,2,2,3,3,2,2,3,3,2,2
188,16:50:56.524,2,2,2,3,3,2,2,3,3,2,2
189,16:50:56.774,2,2,2,3,3,2,2,3,3,2,2
190,16:50:57.022,2,2,2,3,3,2,2,3,3,2,2
191,16:50:57.272,2,2,2,3,3,2,2,3,3,2,2
192,16:50:57.539,2,2,2,3,3,2,2,3,3,2,2
193,16:50:57.773,2,2,2,3,3,2,2,3,3,2,2
194,16:50:58.023,2,2,2,3,3,2,2,3,3,2,2
195,16:50:58.269,2,2,2,3,3,2,2,3,3,2,2
196,16:50:58.522,2,2,2,3,3,2,2,3,3,2,2
197,16:50:58.771,2,2,2,3,3,2,2,3,3,2,2
198,16:50:59.021,2,2,2,3,3,2,2,3,3,2,2
199,16:50:59.271,2,2,2,3,3,2,2,3,3,2,2
200,16:50:59.521,2,2,2,3,3,2,2,3,3,2,2
201,16:50:59.772,2,2,2,3,3,2,2,3,3,2,2
202,16:51:00.021,2,2,2,3,3,2,2,3,3,2,2
203,16:51:00.263,2,2,2,3,3,2,2,3,3,2,2
204,16:51:00.522,2,2,2,3,3,2,2,3,3,2,2
205,16:51:00.774,2,2,2,3,3,2,2,3,3,2,2
206,16:51:01.020,2,2,2,3,3,2,2,3,3,2,2
207,16:51:01.270,2,2,2,3,3,2,2,3,3,2,2
208,16:51:01.519,2,2,2,3,3,2,2,3,3,2,2
209,16:51:01.769,2,2,2,3,3,2,2,3,3,2,2
210,16:51:02.020,2,2,2,3,3,2,2,3,3,2,2
211,16:51:02.269,2,2,2,3,3,2,2,3,3,2,2
212,16:51:02.520,2,2,2,3,3,2,2,3,3,2,2
213,16:51:02.770,2,2,2,3,3,2,2,3,3,2,2
214,16:51:03.020,2,2,2,3,3,2,2,3,3,2,2
215,16:51:03.270,2,2,2,3,3,2,2,3,3,2,2
216,16:51:03.521,2,2,2,3,3,2,2,3,3,2,2
217,16:51:03.770,2,2,2,3,3,2,2,3,3,2,2
218,16:51:04.019,2,2,2,3,3,2,2,3,3,2,2
219,16:51:04.270,2,2,2,3,3,2,2,3,3,2,2
220,16:51:04.534,2,2,2,3,3,2,2,3,3,2,2
221,16:51:04.770,2,2,2,3,3,2,2,3,3,2,2
222,16:51:05.020,2,2,2,3,3,2,2,3,3,2,2
223,16:51:05.268,2,2,2,3,3,2,2,3,3,2,2
224,16:51:05.518,2,2,2,3,3,2,2,3,3,2,2
225,16:51:05.768,2,2,2,3,3,2,2,3,3,2,2
226,16:51:06.018,2,2,2,3,3,2,2,3,3,2,2
227,16:51:06.265,2,2,2,3,3,2,2,3,3,2,2
228,16:51:06.516,2,2,2,3,3,2,2,3,3,2,2
229,16:51:06.766,2,2,2,3,3,2,2,3,3,2,2
230,16:51:07.016,2,2,2,3,3,2,2,3,3,2,2
231,16:51:07.266,2,2,2,3,3,2,2,3,3,2,2
232,16:51:07.516,2,2,2,3,3,2,2,3,3,2,2
233,16:51:07.765,2,2,2,3,3,2,2,3,3,2,2
234,16:51:08.017,2,2,2,3,3,2,2,3,3,2,2
235,16:51:08.266,2,2,2,3,3,2,2,3,3,2,2
236,16:51:08.518,2,2,2,3,3,2,2,3,3,2,2
237,16:51:08.782,2,2,2,3,3,2,2,3,3,2,2
238,16:51:09.015,2,2,2,3,3,2,2,3,3,2,2
239,16:51:09.267,2,2,2,3,3,2,2,3,3,2,2
240,16:51:09.518,2,2,2,3,3,2,2,3,3,2,2
241,16:51:09.766,2,2,2,3,3,2,2,3,3,2,2
242,16:51:10.015,2,2,2,3,3,2,2,3,3,2,2
243,16:51:10.282,2,2,2,3,3,2,2,3,3,2,2
244,16:51:10.517,2,2,2,3,3,2,2,3,3,2,2
245,16:51:10.765,2,2,2,3,3,2,2,3,3,2,2
246,16:51:11.012,2,2,2,3,3,2,2,3,3,2,2
247,16:51:11.262,2,2,2,3,3,2,2,3,3,2,2
248,16:51:11.513,2,2,2,3,3,2,2,3,3,2,2
249,16:51:11.764,2,2,2,3,3,2,2,3,3,2,2
250,16:51:12.013,2,2,2,3,3,2,2,3,3,2,2
251,16:51:12.261,2,2,2,3,3,2,2,3,3,2,2
252,16:51:12.513,2,2,2,3,3,2,2,3,3,2,2
253,16:51:12.763,2,2,2,3,3,2,2,3,3,2,2
254,16:51:13.013,2,2,2,3,3,2,2,3,3,2,2
255,16:51:13.264,2,2,2,3,3,2,2,3,3,2,2
256,16:51:13.514,2,2,2,3,3,2,2,3,3,2,2
257,16:51:13.761,2,2,2,3,3,2,2,3,3,2,2
258,16:51:14.012,2,2,2,3,3,2,2,3,3,2,2
259,16:51:14.258,2,2,2,3,3,2,2,3,3,2,2
260,16:51:14.511,2,2,2,3,3,2,2,3,3,2,2
261,16:51:14.763,2,2,2,3,3,2,2,3,3,2,2
262,16:51:15.018,2,2,2,3,3,2,2,3,3,2,2
263,16:51:15.263,2,2,2,3,3,2,2,3,3,2,2
264,16:51:15.514,2,2,2,3,3,2,2,3,3,2,2
265,16:51:15.764,2,2,2,3,3,2,2,3,3,2,2
266,16:51:16.012,2,2,2,3,3,2,2,3,3,2,2
267,16:51:16.261,2,2,2,3,3,2,2,3,3,2,2
268,16:51:16.509,2,2,2,3,3,2,2,3,3,2,2
269,16:51:16.751,2,2,2,3,3,2,2,3,3,2,2
270,16:51:17.009,2,2,2,3,3,2,2,3,3,2,2
271,16:51:17.260,2,2,2,3,3,2,2,3,3,2,2
272,16:51:17.507,2,2,2,3,3,2,2,3,3,2,2
273,16:51:17.757,2,2,2,3,3,2,2,3,3,2,2
274,16:51:18.006,2,2,2,3,3,2,2,3,3,2,2
275,16:51:18.256,2,2,2,3,3,2,2,3,3,2,2
276,16:51:18.506,2,2,2,3,3,2,2,3,3,2,2
277,16:51:18.758,2,2,2,3,3,2,2,3,3,2,2
278,16:51:19.010,2,2,2,3,3,2,2,3,3,2,2
279,16:51:19.259,2,2,2,3,3,2,2,3,3,2,2
280,16:51:19.506,2,2,2,3,3,2,2,3,3,2,2
281,16:51:19.757,2,2,2,3,3,2,2,3,3,2,2
282,16:51:20.001,2,2,2,3,3,2,2,3,3,2,2
283,16:51:20.257,2,2,2,3,3,2,2,3,3,2,2
284,16:51:20.504,2,2,2,3,3,2,2,3,3,2,2
285,16:51:20.757,2,2,2,3,3,2,2,3,3,2,2
286,16:51:21.006,2,2,2,3,3,2,2,3,3,2,2
287,16:51:21.257,2,2,2,3,3,2,2,3,3,2,2
288,16:51:21.532,2,2,2,3,3,2,2,3,3,2,2
289,16:51:21.757,2,2,2,3,3,2,2,3,3,2,2
290,16:51:22.007,2,2,2,3,3,2,2,3,3,2,2
291,16:51:22.258,2,2,2,3,3,2,2,3,3,2,2
292,16:51:22.508,2,2,2,3,3,2,2,3,3,2,2
293,16:51:22.756,2,2,2,3,3,2,2,3,3,2,2
294,16:51:23.006,2,2,2,3,3,2,2,3,3,2,2
295,16:51:23.254,2,2,2,3,3,2,2,3,3,2,2
296,16:51:23.503,2,2,2,3,3,2,2,3,3,2,2
297,16:51:23.757,2,2,2,3,3,2,2,3,3,2,2
298,16:51:24.005,2,2,2,3,3,2,2,3,3,2,2
299,16:51:24.254,2,2,2,3,3,2,2,3,3,2,2
300,16:51:24.503,2,2,2,3,3,2,2,3,3,2,2
301,16:51:24.753,2,2,2,3,3,2,2,3,3,2,2
302,16:51:25.003,2,2,2,3,3,2,2,3,3,2,2
303,16:51:25.253,2,2,2,3,3,2,2,3,3,2,2
304,16:51:25.512,2,2,2,3,3,2,2,3,3,2,2
305,16:51:25.753,2,2,2,3,3,2,2,3,3,2,2
306,16:51:26.005,2,2,2,3,3,2,2,3,3,2,2
307,16:51:26.252,2,2,2,3,3,2,2,3,3,2,2
308,16:51:26.502,2,2,2,3,3,2,2,3,3,2,2
309,16:51:26.753,2,2,2,3,3,2,2,3,3,2,2
310,16:51:27.003,2,2,2,3,3,2,2,3,3,2,2
311,16:51:27.257,2,2,2,3,3,2,2,3,3,2,2
312,16:51:27.501,2,2,2,3,3,2,2,3,3,2,2
313,16:51:27.760,2,2,2,3,3,2,2,3,3,2,2
314,16:51:28.002,2,2,2,3,3,2,2,3,3,2,2
315,16:51:28.253,2,2,2,3,3,2,2,3,3,2,2
316,16:51:28.533,2,2,2,3,3,2,2,3,3,2,2
317,16:51:28.750,2,2,2,3,3,2,2,3,3,2,2
318,16:51:29.000,2,2,2,3,3,2,2,3,3,2,2
319,16:51:29.251,2,2,2,3,3,2,2,3,3,2,2
320,16:51:29.501,2,2,2,3,3,2,2,3,3,2,2
321,16:51:29.751,2,2,2,3,3,2,2,3,3,2,2
322,16:51:30.026,2,2,2,3,3,2,2,3,3,2,2
323,16:51:30.253,2,2,2,3,3,2,2,3,3,2,2
324,16:51:30.499,2,2,2,3,3,2,2,3,3,2,2
325,16:51:30.750,2,2,2,3,3,2,2,3,3,2,2
326,16:51:30.999,2,2,2,3,3,2,2,3,3,2,2
327,16:51:31.251,2,2,2,3,3,2,2,3,3,2,2
328,16:51:31.501,2,2,2,3,3,2,2,3,3,2,2
329,16:51:31.747,2,2,2,3,3,2,2,3,3,2,2
330,16:51:32.000,2,2,2,3,3,2,2,3,3,2,2
331,16:51:32.249,2,2,2,3,3,2,2,3,3,2,2
332,16:51:32.499,2,2,2,3,3,2,2,3,3,2,2
333,16:51:32.749,2,2,2,3,3,2,2,3,3,2,2
334,16:51:32.998,2,2,2,3,3,2,2,3,3,2,2
335,16:51:33.248,2,2,2,3,3,2,2,3,3,2,2
336,16:51:33.496,2,2,2,3,3,2,2,3,3,2,2
337,16:51:33.746,2,2,2,3,3,2,2,3,3,2,2
338,16:51:33.995,2,2,2,3,3,2,2,3,3,2,2
339,16:51:34.248,2,2,2,3,3,2,2,3,3,2,2
340,16:51:34.497,2,2,2,3,3,2,2,3,3,2,2
341,16:51:34.748,2,2,2,3,3,2,2,3,3,2,2
342,16:51:34.990,2,2,2,3,3,2,2,3,3,2,2
343,16:51:35.246,2,2,2,3,3,2,2,3,3,2,2
344,16:51:35.497,2,2,2,3,3,2,2,3,3,2,2
345,16:51:35.745,2,2,2,3,3,2,2,3,3,2,2
346,16:51:35.996,2,2,2,3,3,2,2,3,3,2,2
347,16:51:36.246,2,2,2,3,3,2,2,3,3,2,2
348,16:51:36.497,2,2,2,3,3,2,2,3,3,2,2
349,16:51:36.742,2,2,2,3,3,2,2,3,3,2,2
350,16:51:36.997,2,2,2,3,3,2,2,3,3,2,2
351,16:51:37.247,2,2,2,3,3,2,2,3,3,2,2
352,16:51:37.492,2,2,2,3,3,2,2,3,3,2,2
353,16:51:37.748,2,2,2,3,3,2,2,3,3,2,2
354,16:51:37.994,2,2,2,3,3,2,2,3,3,2,2
355,16:51:38.245,2,2,2,3,3,2,2,3,3,2,2
356,16:51:38.495,2,2,2,3,3,2,2,3,3,2,2
357,16:51:38.744,2,2,2,3,3,2,2,3,3,2,2
358,16:51:38.994,2,2,2,3,3,2,2,3,3,2,2
359,16:51:39.245,2,2,2,3,3,2,2,3,3,2,2
360,16:51:39.494,2,2,2,3,3,2,2,3,3,2,2
361,16:51:39.744,2,2,2,3,3,2,2,3,3,2,2
362,16:51:39.993,2,2,2,3,3,2,2,3,3,2,2
363,16:51:40.243,2,2,2,3,3,2,2,3,3,2,2
364,16:51:40.509,2,2,2,3,3,2,2,3,3,2,2
365,16:51:40.744,2,2,2,3,3,2,2,3,3,2,2
366,16:51:40.994,2,2,2,3,3,2,2,3,3,2,2
367,16:51:41.243,2,2,2,3,3,2,2,3,3,2,2
368,16:51:41.493,2,2,2,3,3,2,2,3,3,2,2
369,16:51:41.743,2,2,2,3,3,2,2,3,3,2,2
370,16:51:41.993,2,2,2,3,3,2,2,3,3,2,2
371,16:51:42.242,2,2,2,3,3,2,2,3,3,2,2
372,16:51:42.492,2,2,2,3,3,2,2,3,3,2,2
373,16:51:42.755,2,2,2,3,3,2,2,3,3,2,2
374,16:51:42.995,2,2,2,3,3,2,2,3,3,2,2
375,16:51:43.242,2,2,2,3,3,2,2,3,3,2,2
376,16:51:43.492,2,2,2,3,3,2,2,3,3,2,2
377,16:51:43.743,2,2,2,3,3,2,2,3,3,2,2
378,16:51:43.993,2,2,2,3,3,2,2,3,3,2,2
379,16:51:44.261,2,2,2,3,3,2,2,3,3,2,2
380,16:51:44.491,2,2,2,3,3,2,2,3,3,2,2
381,16:51:44.739,2,2,2,3,3,2,2,3,3,2,2
382,16:51:44.988,2,2,2,3,3,2,2,3,3,2,2
383,16:51:45.241,2,2,2,3,3,2,2,3,3,2,2
384,16:51:45.491,2,2,2,3,3,2,2,3,3,2,2
385,16:51:45.741,2,2,2,3,3,2,2,3,3,2,2
386,16:51:45.987,2,2,2,3,3,2,2,3,3,2,2
387,16:51:46.240,2,2,2,3,3,2,2,3,3,2,2
388,16:51:46.492,2,2,2,3,3,2,2,3,3,2,2
389,16:51:46.742,2,2,2,3,3,2,2,3,3,2,2
390,16:51:46.989,2,2,2,3,3,2,2,3,3,2,2
391,16:51:47.239,2,2,2,3,3,2,2,3,3,2,2
392,16:51:47.487,2,2,2,3,3,2,2,3,3,2,2
393,16:51:47.737,2,2,2,3,3,2,2,3,3,2,2
394,16:51:47.986,2,2,2,3,3,2,2,3,3,2,2
395,16:51:48.235,2,2,2,3,3,2,2,3,3,2,2
396,16:51:48.486,2,2,2,3,3,2,2,3,3,2,2
397,16:51:48.736,2,2,2,3,3,2,2,3,3,2,2
398,16:51:48.986,2,2,2,3,3,2,2,3,3,2,2
399,16:51:49.237,2,2,2,3,3,2,2,3,3,2,2
400,16:51:49.487,2,2,2,3,3,2,2,3,3,2,2
401,16:51:49.736,2,2,2,3,3,2,2,3,3,2,2
402,16:51:49.986,2,2,2,3,3,2,2,3,3,2,2
403,16:51:50.236,2,2,2,3,3,2,2,3,3,2,2
404,16:51:50.494,2,2,2,3,3,2,2,3,3,2,2
405,16:51:50.738,2,2,2,3,3,2,2,3,3,2,2
406,16:51:50.987,2,2,2,3,3,2,2,3,3,2,2
407,16:51:51.237,2,2,2,3,3,2,2,3,3,2,2
408,16:51:51.488,2,2,2,3,3,2,2,3,3,2,2
409,16:51:51.737,2,2,2,3,3,2,2,3,3,2,2
410,16:51:51.988,2,2,2,3,3,2,2,3,3,2,2
411,16:51:52.238,2,2,2,3,3,2,2,3,3,2,2
412,16:51:52.490,2,2,2,3,3,2,2,3,3,2,2
413,16:51:52.737,2,2,2,3,3,2,2,3,3,2,2
414,16:51:52.985,2,2,2,3,3,2,2,3,3,2,2
415,16:51:53.235,2,2,2,3,3,2,2,3,3,2,2
416,16:51:53.486,2,2,2,3,3,2,2,3,3,2,2
417,16:51:53.736,2,2,2,3,3,2,2,3,3,2,2
418,16:51:53.985,2,2,2,3,3,2,2,3,3,2,2
419,16:51:54.234,2,2,2,3,3,2,2,3,3,2,2
420,16:51:54.485,2,2,2,3,3,2,2,3,3,2,2
421,16:51:54.734,2,2,2,3,3,2,2,3,3,2,2
422,16:51:54.985,2,2,2,3,3,2,2,3,3,2,2
423,16:51:55.233,2,2,2,3,3,2,2,3,3,2,2
424,16:51:55.482,2,2,2,3,3,2,2,3,3,2,2
425,16:51:55.743,2,2,2,3,3,2,2,3,3,2,2
426,16:51:55.983,2,2,2,3,3,2,2,3,3,2,2
427,16:51:56.233,2,2,2,3,3,2,2,3,3,2,2
428,16:51:56.483,2,2,2,3,3,2,2,3,3,2,2
429,16:51:56.733,2,2,2,3,3,2,2,3,3,2,2
430,16:51:56.983,2,2,2,3,3,2,2,3,3,2,2
431,16:51:57.234,2,2,2,3,3,2,2,3,3,2,2
432,16:51:57.482,2,2,2,3,3,2,2,3,3,2,2
